Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Urban Population,SP.URB.TOTL.IN.ZS,Seychelles,SYC,55.4,55.831,56.261,56.691,57.119,57.546,57.972
Urban Population,SP.URB.TOTL.IN.ZS,Sierra Leone,SLE,40.829,41.228,41.636,42.055,42.484,42.923,43.372
Urban Population,SP.URB.TOTL.IN.ZS,Singapore,SGP,100,100,100,100,100,100,100
Urban Population,SP.URB.TOTL.IN.ZS,Sint Maarten (Dutch part),SXM,100,100,100,100,100,100,100
Urban Population,SP.URB.TOTL.IN.ZS,Slovak Republic,SVK,53.889,53.806,53.751,53.726,53.729,53.76,53.82
Urban Population,SP.URB.TOTL.IN.ZS,Slovenia,SVN,53.781,54.02,54.273,54.541,54.822,55.118,55.427
Urban Population,SP.URB.TOTL.IN.ZS,Small states,SST,53.15710954,53.39721033,53.65453616,53.87526606,54.07601202,54.23303139,54.3649936
Urban Population,SP.URB.TOTL.IN.ZS,Solomon Islands,SLB,22.36,22.823,23.286,23.749,24.21,24.67,25.128
Urban Population,SP.URB.TOTL.IN.ZS,Somalia,SOM,43.245,43.816,44.391,44.971,45.554,46.141,46.731
Urban Population,SP.URB.TOTL.IN.ZS,South Africa,ZAF,64.828,65.341,65.85,66.355,66.856,67.354,67.847
Urban Population,SP.URB.TOTL.IN.ZS,South Asia,SAS,32.75580601,33.16234064,33.57861344,34.0058992,34.44463406,34.89320579,35.35192499
Urban Population,SP.URB.TOTL.IN.ZS,South Asia (IDA & IBRD),TSA,32.75580601,33.16234064,33.57861344,34.0058992,34.44463406,34.89320579,35.35192499
Urban Population,SP.URB.TOTL.IN.ZS,South Sudan,SSD,18.852,19.092,19.346,19.615,19.899,20.199,20.514
Urban Population,SP.URB.TOTL.IN.ZS,Spain,ESP,79.602,79.84,80.08,80.321,80.565,80.81,81.056
Urban Population,SP.URB.TOTL.IN.ZS,Sri Lanka,LKA,18.256,18.311,18.384,18.476,18.585,18.713,18.86
Urban Population,SP.URB.TOTL.IN.ZS,St. Kitts and Nevis,KNA,30.827,30.79,30.773,30.776,30.799,30.843,30.906
Urban Population,SP.URB.TOTL.IN.ZS,St. Lucia,LCA,18.515,18.558,18.612,18.678,18.754,18.841,18.94
Urban Population,SP.URB.TOTL.IN.ZS,St. Martin (French part),MAF,,,,,,,
Urban Population,SP.URB.TOTL.IN.ZS,St. Vincent and the Grenadines,VCT,50.964,51.373,51.784,52.198,52.614,53.032,53.452
Urban Population,SP.URB.TOTL.IN.ZS,Sub-Saharan Africa,SSF,38.63131919,39.16090376,39.6871965,40.22454533,40.75928286,41.29441612,41.83005287
Urban Population,SP.URB.TOTL.IN.ZS,Sub-Saharan Africa (excluding high income),SSA,38.62976604,39.15938042,39.68570327,40.22308665,40.75785871,41.29302613,41.82869628
Urban Population,SP.URB.TOTL.IN.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,38.63131919,39.16090376,39.6871965,40.22454533,40.75928286,41.29441612,41.83005287
Urban Population,SP.URB.TOTL.IN.ZS,Sudan,SDN,33.894,34.121,34.37,34.642,34.936,35.253,35.593
Urban Population,SP.URB.TOTL.IN.ZS,Suriname,SUR,66.056,66.04,66.041,66.06,66.095,66.149,66.219
Urban Population,SP.URB.TOTL.IN.ZS,Sweden,SWE,86.553,86.852,87.146,87.431,87.708,87.977,88.238
Urban Population,SP.URB.TOTL.IN.ZS,Switzerland,CHE,73.718,73.739,73.761,73.797,73.849,73.915,73.996
Urban Population,SP.URB.TOTL.IN.ZS,Syrian Arab Republic,SYR,52.168,52.835,53.5,54.162,54.821,55.475,56.124
Urban Population,SP.URB.TOTL.IN.ZS,Tajikistan,TJK,26.742,26.851,26.982,27.134,27.309,27.506,27.726
Urban Population,SP.URB.TOTL.IN.ZS,Tanzania,TZA,31.617,32.333,33.053,33.776,34.5,35.227,35.954
